target,mission,label,ra,dec,kepmag,period,t0,duration,depth_ppm,snr
Kepler-227,Kepler,1,291.93423,48.141651,15.347,9.48803557,170.53875,2.9575,616.0,35.8
Kepler-227,Kepler,1,291.93423,48.141651,15.347,54.4183827,162.51384,4.507,875.0,25.8
K00753.01,Kepler,1,297.00482,48.134129,15.436,19.89913995,175.850252,1.7822,10800.0,76.3
K00754.01,Kepler,0,285.53461,48.28521,15.597,1.736952453,170.307565,2.40641,8080.0,505.6
Kepler-664,Kepler,1,288.75488,48.2262,15.509,2.525591777,171.59555,1.6545,603.0,40.9
Kepler-228,Kepler,1,296.28613,48.22467,15.714,11.09432054,171.20116,4.5945,1520.0,66.5
Kepler-228,Kepler,1,296.28613,48.22467,15.714,4.13443512,172.97937,3.1402,686.0,40.2
Kepler-228,Kepler,1,296.28613,48.22467,15.714,2.56658897,179.55437,2.429,227.0,15.0
K00114.01,Kepler,0,298.86435,42.151569,12.66,7.36178958,132.25053,5.022,234.0,47.7
Kepler-229,Kepler,1,286.99948,48.37579,15.841,16.06864674,173.621937,3.5347,4910.0,161.9
Kepler-1,Kepler,1,286.80847,49.316399,11.338,2.470613377,122.763305,1.74319,14200.0,4304.3
Kepler-2,Kepler,1,292.24728,47.969521,10.463,2.204735417,121.3585417,3.88864,6670.0,5945.9
Kepler-8,Kepler,1,281.28812,42.45108,13.563,3.522498429,121.1194228,3.19843,9150.0,1741.5
Kepler-466,Kepler,1,295.64871,48.49556,12.772,3.709214104,133.98318,2.6302,131.0,50.6
K00742.01,Kepler,0,297.07993,47.597401,15.472,11.52144606,170.839688,3.6399,18000.0,622.1
K00743.01,Kepler,0,289.25821,47.635319,15.487,19.40393776,172.484253,12.2155,8920.0,214.7
K00744.01,Kepler,0,295.81454,47.69035,15.341,19.22138894,184.5521637,4.79843,74300.0,2317.0
K00745.01,Kepler,0,297.15442,47.668701,15.788,16.46983774,180.881761,9.4378,10500.0,303.4
Kepler-660,Kepler,1,288.13824,47.724449,15.302,9.27358173,173.258155,3.2875,1290.0,87.2
Kepler-661,Kepler,1,283.71088,47.86327,15.784,6.02930329,171.602959,1.5821,1910.0,65.4
K00748.01,Kepler,0,283.76547,47.804298,15.269,2.696370652,170.73769,3.6129,398.0,48.2
Kepler-226,Kepler,1,292.37613,47.880989,15.416,5.349553819,171.80694,3.0278,831.0,60.6
Kepler-226,Kepler,1,292.37613,47.880989,15.416,3.94105221,136.08662,2.5984,363.0,28.9
Kepler-226,Kepler,1,292.37613,47.880989,15.416,8.10904807,132.8031,3.596,217.0,14.1
K00113.01,Kepler,0,292.27374,37.671558,12.394,386.6030528,166.342079,6.8057,24900.0,994.0
