epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.0084,0.58214,0.8764,1,0.4828,0.00015003,0.00015003,0.00015003
2,49.6384,0.25431,0.96067,1,0.13405,0.000315162,0.000315162,0.000315162
3,75.4037,0.14978,0.96067,1,0.1099,0.000478644,0.000478644,0.000478644
4,107,0.10038,0.96067,1,0.11314,0.000640476,0.000640476,0.000640476
5,145.275,0.10121,0.96067,1,0.15261,0.000800657,0.000800657,0.000800657
6,182.313,0.09263,0.96067,1,0.14938,0.000959188,0.000959188,0.000959188
7,218.372,0.08933,0.96067,1,0.12128,0.00111607,0.00111607,0.00111607
8,255.519,0.08757,0.96067,1,0.12081,0.0012713,0.0012713,0.0012713
9,289.763,0.08305,0.96067,1,0.10835,0.00142488,0.00142488,0.00142488
10,313.576,0.08142,0.96067,1,0.15299,0.00157681,0.00157681,0.00157681
11,337.617,0.09184,0.96067,1,0.13741,0.00158448,0.00158448,0.00158448
12,361.391,0.08086,0.96067,1,0.17487,0.00157623,0.00157623,0.00157623
13,385.204,0.08869,0.96067,1,0.10429,0.00156798,0.00156798,0.00156798
14,409.053,0.08418,0.96067,1,0.11536,0.00155973,0.00155973,0.00155973
15,432.838,0.08658,0.96067,1,0.22299,0.00155148,0.00155148,0.00155148
16,456.831,0.09574,0.96067,1,0.10672,0.00154323,0.00154323,0.00154323
17,480.681,0.09521,0.96067,1,0.1354,0.00153497,0.00153497,0.00153497
18,504.433,0.09227,0.96067,1,0.15398,0.00152672,0.00152672,0.00152672
19,528.551,0.10838,0.96067,1,0.11594,0.00151847,0.00151847,0.00151847
20,553.071,0.10964,0.96067,1,0.16057,0.00151022,0.00151022,0.00151022
21,578.11,0.14494,0.96067,1,0.11425,0.00150197,0.00150197,0.00150197
22,603.316,0.10815,0.96067,1,0.15068,0.00149372,0.00149372,0.00149372
23,627.773,0.10148,0.95506,1,0.119,0.00148546,0.00148546,0.00148546
24,652.372,0.10194,0.9382,1,0.22023,0.00147721,0.00147721,0.00147721
25,676.928,0.08346,0.96067,1,0.32705,0.00146896,0.00146896,0.00146896
26,701.442,0.0835,0.96067,1,0.22286,0.00146071,0.00146071,0.00146071
27,728.049,0.12996,0.96067,1,0.12133,0.00145246,0.00145246,0.00145246
28,759.727,0.09023,0.9382,1,0.17385,0.00144421,0.00144421,0.00144421
29,783.856,0.09164,0.96067,1,0.28712,0.00143595,0.00143595,0.00143595
30,807.723,0.08135,0.96067,1,0.16734,0.0014277,0.0014277,0.0014277
31,831.631,0.07733,0.96067,1,0.14692,0.00141945,0.00141945,0.00141945
32,855.594,0.10375,0.96067,1,0.28586,0.0014112,0.0014112,0.0014112
33,879.466,0.075,0.96067,1,0.24812,0.00140295,0.00140295,0.00140295
34,903.353,0.06748,0.96067,1,0.2708,0.0013947,0.0013947,0.0013947
35,927.357,0.07241,0.96067,1,0.34666,0.00138644,0.00138644,0.00138644
36,951.313,0.07592,0.96067,1,0.21333,0.00137819,0.00137819,0.00137819
37,975.251,0.07844,0.96067,1,0.34158,0.00136994,0.00136994,0.00136994
