epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.7067,0.60822,0.5035,1,0.64253,0.00013336,0.00013336,0.00013336
2,65.0805,0.26645,0.95105,1,0.1829,0.000280584,0.000280584,0.000280584
3,96.7726,0.12718,0.95105,1,0.10383,0.000424838,0.000424838,0.000424838
4,128.333,0.09753,0.95105,1,0.15681,0.000566122,0.000566122,0.000566122
5,159.286,0.09364,0.95105,1,0.12105,0.000704434,0.000704434,0.000704434
6,190.461,0.09483,0.95105,1,0.27015,0.000839776,0.000839776,0.000839776
7,221.826,0.0771,0.95105,1,0.65902,0.000972148,0.000972148,0.000972148
8,253.264,0.09566,0.95105,1,0.16484,0.00110155,0.00110155,0.00110155
9,285.335,0.08263,0.95105,1,0.15915,0.00122798,0.00122798,0.00122798
10,320.224,0.0786,0.95105,1,0.22335,0.00135144,0.00135144,0.00135144
11,352.844,0.07722,0.95105,1,0.12515,0.00147193,0.00147193,0.00147193
12,384.295,0.10251,0.94406,1,0.38439,0.00148546,0.00148546,0.00148546
13,415.977,0.09604,0.95105,1,0.22931,0.00146896,0.00146896,0.00146896
14,446.844,0.10208,0.95105,1,0.24213,0.00145246,0.00145246,0.00145246
15,478.162,0.07115,0.94406,1,0.4548,0.00143595,0.00143595,0.00143595
16,509.089,0.08124,0.95105,1,0.1722,0.00141945,0.00141945,0.00141945
17,540.024,0.10159,0.95105,1,0.15017,0.00140295,0.00140295,0.00140295
18,570.78,0.08172,0.95105,1,0.09005,0.00138644,0.00138644,0.00138644
19,602.016,0.09937,0.95105,1,0.1194,0.00136994,0.00136994,0.00136994
20,633.446,0.10342,0.95105,1,0.21435,0.00135344,0.00135344,0.00135344
21,665.024,0.09768,0.95105,1,0.53878,0.00133693,0.00133693,0.00133693
22,696.562,0.08281,0.95105,1,0.11966,0.00132043,0.00132043,0.00132043
23,727.947,0.07853,0.95105,1,0.36248,0.00130393,0.00130393,0.00130393
24,758.688,0.0623,0.94406,1,0.21067,0.00128742,0.00128742,0.00128742
25,789.342,0.11049,0.95105,1,0.17864,0.00127092,0.00127092,0.00127092
26,819.725,0.0843,0.93007,1,0.11307,0.00125442,0.00125442,0.00125442
27,850.419,0.09203,0.95105,1,0.43478,0.00123791,0.00123791,0.00123791
28,880.648,0.07495,0.95105,1,0.16458,0.00122141,0.00122141,0.00122141
29,910.919,0.07756,0.95105,1,0.10889,0.00120491,0.00120491,0.00120491
30,941.883,0.07005,0.95105,1,0.1158,0.0011884,0.0011884,0.0011884
31,973.038,0.06423,0.95105,1,0.12869,0.0011719,0.0011719,0.0011719
32,1005.05,0.05696,0.95105,1,0.12009,0.0011554,0.0011554,0.0011554
33,1036.56,0.06731,0.95105,1,0.18123,0.00113889,0.00113889,0.00113889
34,1068.06,0.05993,0.93007,1,0.42659,0.00112239,0.00112239,0.00112239
35,1099.49,0.08211,0.93706,1,0.23634,0.00110589,0.00110589,0.00110589
36,1130.98,0.05943,0.91608,1,0.20415,0.00108938,0.00108938,0.00108938
37,1162.35,0.06218,0.94406,1,0.1532,0.00107288,0.00107288,0.00107288
38,1193.86,0.0483,0.95105,1,0.13313,0.00105638,0.00105638,0.00105638
39,1225.23,0.07682,0.95105,1,0.12482,0.00103987,0.00103987,0.00103987
40,1256.74,0.05798,0.93007,1,0.15017,0.00102337,0.00102337,0.00102337
41,1288.6,0.05293,0.95105,1,0.17134,0.00100687,0.00100687,0.00100687
42,1320.1,0.06744,0.95105,1,0.12877,0.000990365,0.000990365,0.000990365
43,1351.54,0.05931,0.95105,1,0.12258,0.000973861,0.000973861,0.000973861
44,1383.06,0.06538,0.95105,1,0.13327,0.000957358,0.000957358,0.000957358
45,1414.45,0.05937,0.95105,1,0.32734,0.000940855,0.000940855,0.000940855
46,1445.92,0.04531,0.93007,1,0.23295,0.000924352,0.000924352,0.000924352
47,1477.3,0.06248,0.93007,1,0.25553,0.000907848,0.000907848,0.000907848
48,1508.81,0.04185,0.92308,1,0.18149,0.000891345,0.000891345,0.000891345
49,1540.21,0.05319,0.93007,1,0.28037,0.000874842,0.000874842,0.000874842
50,1571.67,0.05849,0.93007,1,0.42339,0.000858338,0.000858338,0.000858338
51,1603.11,0.04498,0.9021,1,0.25265,0.000841835,0.000841835,0.000841835
52,1634.47,0.04799,0.93007,1,0.29738,0.000825332,0.000825332,0.000825332
53,1665.94,0.05696,0.93007,1,0.35088,0.000808828,0.000808828,0.000808828
54,1697.47,0.05367,0.93007,1,0.17952,0.000792325,0.000792325,0.000792325
55,1729,0.05933,0.91608,1,0.1952,0.000775822,0.000775822,0.000775822
56,1760.43,0.05721,0.93007,1,0.19563,0.000759318,0.000759318,0.000759318
57,1791.93,0.04769,0.95105,1,0.21002,0.000742815,0.000742815,0.000742815
58,1823.3,0.03741,0.93007,1,0.21518,0.000726312,0.000726312,0.000726312
59,1854.94,0.05605,0.93007,1,0.17619,0.000709809,0.000709809,0.000709809
